orf_name,deg,eff,sens,trans,eigenvec_centr,closeness_centr,smallest_eigenvec,neighbor_degree,gene1,Systematic gene name
mrd1-5002,23,2.095102475850078,2.0318071006862732,0.5691699604743083,3.4045612522426494e-05,0.22661477237941138,-0.0005784100790557224,30.782608695652176,mrd1-5002,YPR112C
pwp2-5002,10,0.3521149370285034,1.4276735405873036,0.4888888888888889,0.0016028560800052268,0.21727463312368972,-0.0005698429674108313,27.9,pwp2-5002,YCR057C
bmt5,1,0.015813780501083757,1.6443759239149671,0.0,9.44725252388429e-08,0.19496595056247412,-0.0005336588353798738,23.0,bmt5,YIL096C
dal7,28,2.391866616574923,0.5267828585484731,0.13227513227513227,2.1992757891362806e-05,0.2449076043291271,-0.0005644595095661317,18.0,dal7,YIR031C
bmt6,12,1.033749074518071,1.0373677164713242,0.5,3.923848649040913e-05,0.22802076916307312,-0.0005769848031094663,32.0,bmt6,YLR063W
mrx3,4,0.24470068333146672,1.2241723944792606,0.5,8.147388402307336e-06,0.21188207875046,-0.0005817542344412893,28.5,mrx3,YBL095W
pet10,15,1.0063930041910447,0.9839421207264606,0.3904761904761905,0.0007673810157637843,0.22621905967608155,-0.0005666413936670164,28.8,pet10,YKR046C
yll058w,5,2.258768346567579,1.7347454230187747,0.3,2.228580017607823e-06,0.211484308043913,-0.0006355609952183848,14.8,yll058w,YLL058W
bna2,3,0.5856433954297195,1.6618381180688777,0.6666666666666666,2.801710086089329e-07,0.1941187488293688,-0.000480841425483991,7.0,bna2,YJR078W
bna1,8,1.2062022771978276,0.6008486519941818,0.21428571428571427,1.574160458871992e-05,0.23581342434584757,-0.0005345549563669802,31.0,bna1,YJR025C
bna6,4,1.2791219513035375,1.8059179163237105,0.5,2.8043845938381483e-07,0.19413329337279436,-0.00047858450133510163,5.75,bna6,YFR047C
dnm1,6,0.8287273794216964,0.7812285885421335,0.3333333333333333,1.3749349188399953e-05,0.23246007536335905,-0.0005545174535609341,27.5,dnm1,YLL001W
ydr199w,8,1.360133035507615,1.9939598865658992,0.75,1.0129831785883095e-05,0.20311213890957552,-0.0005633678531403695,8.875,ydr199w,YDR199W
dys1-5002,9,2.8439370214984336,1.1836408936023477,0.19444444444444445,6.864386349725849e-07,0.1953996983408748,-0.00039858343365184,5.555555555555555,dys1-5002,YHR068W
bna4,4,0.1979205490767393,0.6750794378961299,0.0,9.245153509870134e-07,0.2094753011561161,-0.00036992630330934717,19.5,bna4,YBL098W
bna5,3,1.2888671418016922,2.650113671970151,0.3333333333333333,1.621733945331588e-08,0.17127181385510312,-0.00046970137712072917,4.666666666666667,bna5,YLR231C
ylr232w,1,0.22458126245557294,3.945584633481571,0.0,2.719354402259939e-10,0.14623134012472838,-0.0005018484122721998,3.0,ylr232w,YLR232W
mer1,3,0.15248937546360314,0.7390950493782418,0.0,3.230899605670963e-07,0.2135850300882038,-0.0005670658938096275,15.666666666666666,mer1,YNL210W
bna7,3,0.16489105073704946,0.779300127726998,0.0,1.3106806992955274e-06,0.20863193493840085,-0.000562159032389416,15.333333333333334,bna7,YDR428C
cdc10-2,10,1.1909337636222328,1.326958260915184,0.5555555555555556,0.00011574298275887163,0.21807010899297227,-0.0005278349742853211,21.9,cdc10-2,YCR002C
cdc11-1,17,1.1869468625450685,1.6693384208208843,0.625,0.0004690646189978288,0.22677344536344143,-0.0005289738261018725,23.764705882352942,cdc11-1,YJR076C
cdc11-2,18,1.017278620634162,1.4036953537639252,0.5032679738562091,0.0005204933151968387,0.232168458781362,-0.0005326714318299448,26.055555555555557,cdc11-2,YJR076C
cdc11-3,18,1.2967416201169737,1.6123437503379219,0.5424836601307189,0.00039543139986014664,0.2277001493980139,-0.0005291696436335864,22.333333333333332,cdc11-3,YJR076C
cdc11-5,13,0.7596460315358387,1.7325904511961119,0.7948717948717948,0.0002843346529492788,0.21772194445611529,-0.000531662688066409,22.384615384615383,cdc11-5,YJR076C
cdc12-1,25,1.98321866743683,1.521913237967906,0.43666666666666665,0.0013818018468591778,0.24056450489763706,-0.0005186912118664057,26.0,cdc12-1,YHR107C
cdc24-1,9,1.6564163872955826,1.802445332634704,0.3055555555555556,0.0002275173868034188,0.2119167382325277,-0.0005479720718695487,22.0,cdc24-1,YAL041W
cdc24-11,8,0.4557242765895373,1.8986735054213708,0.5357142857142857,0.0002452520836873579,0.21269958543693304,-0.0005315911363463106,27.375,cdc24-11,YAL041W
cdc3-1,14,0.8814157479319022,1.7000044794641103,0.7032967032967034,0.00018692794406595224,0.21927894380501015,-0.0005283016562252075,20.142857142857142,cdc3-1,YLR314C
chs2-5006,26,1.6990875385951296,1.8157048130678772,0.3323076923076923,0.007769840262457638,0.24467633032721092,-0.0005234960953302437,40.76923076923077,chs2-5006,YBR038W
iqg1-5004,3,0.11798394052589586,1.2680002300595576,0.3333333333333333,0.00022166546804099305,0.21096771566991002,-0.0005491390645340446,32.666666666666664,iqg1-5004,YPL242C
